"Addressor", "Addressee", "Count"
"Достоевский Ф. М.","Cтрахову Н. Н.",1
"Достоевский Ф. М.","Абаза Ю. Ф.",1
"Достоевский Ф. М.","Абазе В. К.",1
"Достоевский Ф. М.","Абу Э.",1
"Достоевский Ф. М.","Аверкиеву Д. В.",2
"Достоевский Ф. М.","Аксакову И. С.",4
"Достоевский Ф. М.","Александрову М. А.",60
"Достоевский Ф. М.","Александру II",4
"Достоевский Ф. М.","Алексееву В. А.",1
"Достоевский Ф. М.","Алонкину И. М.",1
"Достоевский Ф. М.","Алчевской Х. Д.",4
"Достоевский Ф. М.","Анненковой П. Е.",1
"Достоевский Ф. М.","Антиповой О. А.",1
"Достоевский Ф. М.","Белинской М. В.",1
"Достоевский Ф. М.","Бергу Ф. Н.",1
"Достоевский Ф. М.","Бестужеву-Рюмину К. Н.",1
"Достоевский Ф. М.","Битюгова И. А.: К переписке Достоевского с Майковым А. Н.",1
"Достоевский Ф. М.","Благонравову А. Ф.",1
"Достоевский Ф. М.","Благосветлову Г. Е.",1
"Достоевский Ф. М.","Боборыкину П. Д.",1
"Достоевский Ф. М.","Будаевскому Н.",1
"Достоевский Ф. М.","Бунакову Н. Ф.",1
"Достоевский Ф. М.","Бурдину Ф. А.",1
"Достоевский Ф. М.","Быкову П. В.",2
"Достоевский Ф. М.","В Главное управление по делам печати",6
"Достоевский Ф. М.","В С. -Петербургский цензурный комитет",1
"Достоевский Ф. М.","В государственный банк",1
"Достоевский Ф. М.","В канцелярию новгородского губернатора",1
"Достоевский Ф. М.","В книжный магазин М. О. Вольфа",1
"Достоевский Ф. М.","В комитет общества для пособия нуждающимся литераторам и ученым",1
"Достоевский Ф. М.","В комитет по устройству музыкально-танцевального вечера в петербургском собрании художников в пользу студентов медико-хирургической академии",1
"Достоевский Ф. М.","В редакции Северной пчелы Сына отечества и Санкт-петербургских ведомостей",1
"Достоевский Ф. М.","В редакцию 'Харьковских губернских ведомостей'",1
"Достоевский Ф. М.","В редакцию газеты Новое время",1
"Достоевский Ф. М.","В редакцию журнала Русский вестник",2
"Достоевский Ф. М.","В редакцию журнала русский вестник",1
"Достоевский Ф. М.","В. Ф. Пуцыковичу",1
"Достоевский Ф. М.","Вагнеру Н. П.",7
"Достоевский Ф. М.","Валиханову Ч. Ч.",1
"Достоевский Ф. М.","Вейнбергу П. И.",4
"Достоевский Ф. М.","Веселаго Ф. Ф.",1
"Достоевский Ф. М.","Веселовскому В. И.",1
"Достоевский Ф. М.","Веселовскому К. С.",1
"Достоевский Ф. М.","Владиславлеву М. И.",2
"Достоевский Ф. М.","Воеводину А. Д.",1
"Достоевский Ф. М.","Вольфраму Ю. И.",2
"Достоевский Ф. М.","Врангелю А. Е.",23
"Достоевский Ф. М.","Гаевскому В. П.",6
"Достоевский Ф. М.","Гейбовичу А. И.",1
"Достоевский Ф. М.","Гейден Е. Н.",1
"Достоевский Ф. М.","Герасимовой А. Ф.",2
"Достоевский Ф. М.","Глазунову А. И.",1
"Достоевский Ф. М.","Головиной Л. В.",1
"Достоевский Ф. М.","Гончарову И. А.",2
"Достоевский Ф. М.","Горбунову И. Ф.",2
"Достоевский Ф. М.","Горчакову А. М.",1
"Достоевский Ф. М.","Григорьеву Л. В.",2
"Достоевский Ф. М.","Грищенко Н. Е.",1
"Достоевский Ф. М.","Гроту Я. К.",1
"Достоевский Ф. М.","Губину В. И.",1
"Достоевский Ф. М.","Гусевой П. Е.",2
"Достоевский Ф. М.","Давыдову П. А.",1
"Достоевский Ф. М.","Директору сибирского кадетского корпуса А. М. Павловскому",1
"Достоевский Ф. М.","Доверенность А. Н. Майкову",1
"Достоевский Ф. М.","Доверенность Б. Б. Полякову",1
"Достоевский Ф. М.","Доверенность В. Д. Шеру",1
"Достоевский Ф. М.","Доверенность М. Д. Достоевской",1
"Достоевский Ф. М.","Доверенность П. А. Исаеву",1
"Достоевский Ф. М.","Доверенность П. Г. Кузнецову",1
"Достоевский Ф. М.","Договор о разделе рязанского имения",1
"Достоевский Ф. М.","Договор с А. Н. Сниткиной",1
"Достоевский Ф. М.","Договор с А. Ф. Базуновым",1
"Достоевский Ф. М.","Договор с Б. Б. Поляковым",1
"Достоевский Ф. М.","Договор с П. Е. Кехрибарджи на первое отдельное издание романа 'Подросток'",1
"Достоевский Ф. М.","Докладная записка министру внутренних дел Л. С. Макову",1
"Достоевский Ф. М.","Достоевской В. М.",2
"Достоевский Ф. М.","Достоевской Д. И.",2
"Достоевский Ф. М.","Достоевской Л. Ф.",2
"Достоевский Ф. М.","Достоевской М. А.",1
"Достоевский Ф. М.","Достоевской М. Ф.",7
"Достоевский Ф. М.","Достоевской Э. Ф.",8
"Достоевский Ф. М.","Достоевскому M. M.",1
"Достоевский Ф. М.","Достоевскому А. М.",17
"Достоевский Ф. М.","Достоевскому М. А.",13
"Достоевский Ф. М.","Достоевскому М. М.",84
"Достоевский Ф. М.","Достоевскому Н. М.",27
"Достоевский Ф. М.","Достоевскому Ф. Ф.",2
"Достоевский Ф. М.","Ждан-Пушкину И. В.",2
"Достоевский Ф. М.","Загуляеву М. А.",1
"Достоевский Ф. М.","Ивановой В. М.",2
"Достоевский Ф. М.","Ивановой Е. П.",2
"Достоевский Ф. М.","Ивановой Н. А.",1
"Достоевский Ф. М.","Ивановой С. А.",19
"Достоевский Ф. М.","Ивановым А. П. и В. М.",1
"Достоевский Ф. М.","Ивановым В. М. С. А. и М. А.",1
"Достоевский Ф. М.","Ивановым В. М. и С. А.",1
"Достоевский Ф. М.","Ивановым Е. П. и С. А.",1
"Достоевский Ф. М.","Ильминской Е. С.",1
"Достоевский Ф. М.","Исаевой М. Д.",1
"Достоевский Ф. М.","Исаеву И. С.",1
"Достоевский Ф. М.","Исаеву П. А.",33
"Достоевский Ф. М.","Иславину К. А.",3
"Достоевский Ф. М.","Исправнику г. Старая Русса Э. М. Готскому-Даниловичу",1
"Достоевский Ф. М.","Казанскому П. П.",1
"Достоевский Ф. М.","Казначею общества для пособий нуждающимся литераторам и ученым И. Н. Березину",1
"Достоевский Ф. М.","Казначею общества для пособия нуждающимся литераторам и ученым И. Н. Березину",4
"Достоевский Ф. М.","Каллаш А. К.",1
"Достоевский Ф. М.","Карепиной В. М.",6
"Достоевский Ф. М.","Карепину П. А.",5
"Достоевский Ф. М.","Каткову М. Н.",12
"Достоевский Ф. М.","Каченовскому В. М.",2
"Достоевский Ф. М.","Кашиным А. П. и О. А.",1
"Достоевский Ф. М.","Кашпиреву В. В.",1
"Достоевский Ф. М.","Кехрибарджи П. Е.",1
"Достоевский Ф. М.","Кишенскому Д. Д.",1
"Достоевский Ф. М.","Ковалевскому Е. П.",4
"Достоевский Ф. М.","Ковнеру А. Г.",1
"Достоевский Ф. М.","Козлову П. А.",1
"Достоевский Ф. М.","Командиру Сибирского линейного № 7 батальона, г-ну подполковнику и кавалеру Велихову",1
"Достоевский Ф. М.","Комаровской А. Е.",2
"Достоевский Ф. М.","Кони А. Ф.",1
"Достоевский Ф. М.","Констант В. Д.",8
"Достоевский Ф. М.","Константу Д. С.",3
"Достоевский Ф. М.","Корвин-Круковской А. В.",3
"Достоевский Ф. М.","Корниловой Е. П.",1
"Достоевский Ф. М.","Краевскому А. А.",5
"Достоевский Ф. М.","Куманиным А. А. и А. Ф.",2
"Достоевский Ф. М.","Курносовой А. Н.",1
"Достоевский Ф. М.","Лаврову В. М.",1
"Достоевский Ф. М.","Ламанскому В. И.",1
"Достоевский Ф. М.","Лебедевой Е. Н.",1
"Достоевский Ф. М.","Леонову Л. А.",1
"Достоевский Ф. М.","Ливчаку И. Н.",1
"Достоевский Ф. М.","Лободе С. М.",1
"Достоевский Ф. М.","Лонгинову М. Н.",1
"Достоевский Ф. М.","Лоренцу В. В.",2
"Достоевский Ф. М.","Лурье С. Е.",3
"Достоевский Ф. М.","Любимову И. А.",1
"Достоевский Ф. М.","Любимову Н. А.",35
"Достоевский Ф. М.","Майковой Е. П.",1
"Достоевский Ф. М.","Майкову А. Н.",40
"Достоевский Ф. М.","Маслянникову К. И.",2
"Достоевский Ф. М.","Мещерскому В. П.",4
"Достоевский Ф. М.","Миллеру О. Ф.",2
"Достоевский Ф. М.","Милюкову А. П.",5
"Достоевский Ф. М.","Милюковым Л. А. и О. А.",1
"Достоевский Ф. М.","Михайлову В. В.",1
"Достоевский Ф. М.","Московской городской думе",1
"Достоевский Ф. М.","Мюллеру Ю. А.",1
"Достоевский Ф. М.","Набросок прошения о взыскании денег с издателя Ф. Т. Стелловского",1
"Достоевский Ф. М.","Надеину М. П.",1
"Достоевский Ф. М.","Налимову А. П.",1
"Достоевский Ф. М.","Начальнику III отделения Е. И. В. канцелярии В. А. Долгорукову",2
"Достоевский Ф. М.","Начальнику офицерских отделений Главного инженерного училища г-ну капитану Гартонгу",2
"Достоевский Ф. М.","Некрасову Н. А.",4
"Достоевский Ф. М.","Неустановленному лицу",4
"Достоевский Ф. М.","Неустановленному лицу (Марии Ивановне)",1
"Достоевский Ф. М.","Неустановленному лицу (Николаю Александровичу)",1
"Достоевский Ф. М.","Неустановленному лицу (Сусанне)",1
"Достоевский Ф. М.","Нечаевой О. Я.",1
"Достоевский Ф. М.","Новиковой О. А.",2
"Достоевский Ф. М.","Оболенской В. Д.",1
"Достоевский Ф. М.","Ожигиной Л. А.",2
